Sexo;País de nacimiento;Relación con la actividad;Periodo;Total
Hombres;Kazajstán;Parado/a;2021;59
Hombres;Kazajstán;Inactivo/a;2022;968
Hombres;Kazajstán;Inactivo/a;2021;743
Hombres;Letonia;Total;2022;1.611
Hombres;Letonia;Total;2021;1.518
Hombres;Letonia;Ocupado/a;2022;651
Hombres;Letonia;Ocupado/a;2021;611
Hombres;Letonia;Parado/a;2022;118
Hombres;Letonia;Parado/a;2021;133
Hombres;Letonia;Inactivo/a;2022;842
Hombres;Letonia;Inactivo/a;2021;774
Hombres;Líbano;Total;2022;3.131
Hombres;Líbano;Total;2021;2.901
Hombres;Líbano;Ocupado/a;2022;1.243
Hombres;Líbano;Ocupado/a;2021;1.112
Hombres;Líbano;Parado/a;2022;167
Hombres;Líbano;Parado/a;2021;199
Hombres;Líbano;Inactivo/a;2022;1.721
Hombres;Líbano;Inactivo/a;2021;1.590
Hombres;Lituania;Total;2022;5.322
Hombres;Lituania;Total;2021;5.403
Hombres;Lituania;Ocupado/a;2022;2.814
Hombres;Lituania;Ocupado/a;2021;2.750
Hombres;Lituania;Parado/a;2022;488
Hombres;Lituania;Parado/a;2021;635
Hombres;Lituania;Inactivo/a;2022;2.020
Hombres;Lituania;Inactivo/a;2021;2.018
Hombres;Mali;Total;2022;25.905
Hombres;Mali;Total;2021;22.799
Hombres;Mali;Ocupado/a;2022;16.777
Hombres;Mali;Ocupado/a;2021;14.604
Hombres;Mali;Parado/a;2022;1.668
Hombres;Mali;Parado/a;2021;1.663
Hombres;Mali;Inactivo/a;2022;7.460
Hombres;Mali;Inactivo/a;2021;6.532
Hombres;Marruecos;Total;2022;516.517
Hombres;Marruecos;Total;2021;501.362
Hombres;Marruecos;Ocupado/a;2022;250.514
Hombres;Marruecos;Ocupado/a;2021;226.488
Hombres;Marruecos;Parado/a;2022;54.448
Hombres;Marruecos;Parado/a;2021;70.951
Hombres;Marruecos;Inactivo/a;2022;211.555
Hombres;Marruecos;Inactivo/a;2021;203.923
Hombres;Mauritania;Total;2022;7.813
Hombres;Mauritania;Total;2021;7.310
Hombres;Mauritania;Ocupado/a;2022;3.400
Hombres;Mauritania;Ocupado/a;2021;2.919
Hombres;Mauritania;Parado/a;2022;1.000
Hombres;Mauritania;Parado/a;2021;1.420
Hombres;Mauritania;Inactivo/a;2022;3.413
Hombres;Mauritania;Inactivo/a;2021;2.971
Hombres;México;Total;2022;24.115
Hombres;México;Total;2021;22.855
Hombres;México;Ocupado/a;2022;11.452
Hombres;México;Ocupado/a;2021;10.156
Hombres;México;Parado/a;2022;1.287
Hombres;México;Parado/a;2021;1.751
Hombres;México;Inactivo/a;2022;11.376
Hombres;México;Inactivo/a;2021;10.948
Hombres;Moldavia;Total;2022;9.538
Hombres;Moldavia;Total;2021;9.356
Hombres;Moldavia;Ocupado/a;2022;5.909
Hombres;Moldavia;Ocupado/a;2021;5.534
Hombres;Moldavia;Parado/a;2022;618
Hombres;Moldavia;Parado/a;2021;821
Hombres;Moldavia;Inactivo/a;2022;3.011
Hombres;Moldavia;Inactivo/a;2021;3.001
Hombres;Nepal;Total;2022;2.908
Hombres;Nepal;Total;2021;2.963
Hombres;Nepal;Ocupado/a;2022;1.734
Hombres;Nepal;Ocupado/a;2021;1.528
Hombres;Nepal;Parado/a;2022;100
Hombres;Nepal;Parado/a;2021;206
Hombres;Nepal;Inactivo/a;2022;1.074
Hombres;Nepal;Inactivo/a;2021;1.229
Hombres;Nicaragua;Total;2022;17.544
Hombres;Nicaragua;Total;2021;17.221
Hombres;Nicaragua;Ocupado/a;2022;7.364
Hombres;Nicaragua;Ocupado/a;2021;5.781
Hombres;Nicaragua;Parado/a;2022;662
Hombres;Nicaragua;Parado/a;2021;1.139
Hombres;Nicaragua;Inactivo/a;2022;9.518
Hombres;Nicaragua;Inactivo/a;2021;10.301
Hombres;Nigeria;Total;2022;18.524
Hombres;Nigeria;Total;2021;18.558
Hombres;Nigeria;Ocupado/a;2022;7.689
Hombres;Nigeria;Ocupado/a;2021;6.882
Hombres;Nigeria;Parado/a;2022;2.421
Hombres;Nigeria;Parado/a;2021;3.361
Hombres;Nigeria;Inactivo/a;2022;8.414
Hombres;Nigeria;Inactivo/a;2021;8.315
Hombres;Noruega;Total;2022;4.902
Hombres;Noruega;Total;2021;4.575
Hombres;Noruega;Ocupado/a;2022;770
Hombres;Noruega;Ocupado/a;2021;710
Hombres;Noruega;Parado/a;2022;27
Hombres;Noruega;Parado/a;2021;66
Hombres;Noruega;Inactivo/a;2022;4.105
Hombres;Noruega;Inactivo/a;2021;3.799
Hombres;Países Bajos;Total;2022;25.389
Hombres;Países Bajos;Total;2021;23.548
Hombres;Países Bajos;Ocupado/a;2022;9.590
Hombres;Países Bajos;Ocupado/a;2021;8.974
Hombres;Países Bajos;Parado/a;2022;751
Hombres;Países Bajos;Parado/a;2021;1.046
Hombres;Países Bajos;Inactivo/a;2022;15.048
Hombres;Países Bajos;Inactivo/a;2021;13.528
Hombres;Pakistán;Total;2022;69.040
Hombres;Pakistán;Total;2021;68.814
Hombres;Pakistán;Ocupado/a;2022;37.608
Hombres;Pakistán;Ocupado/a;2021;34.602
Hombres;Pakistán;Parado/a;2022;3.627
Hombres;Pakistán;Parado/a;2021;4.918
Hombres;Pakistán;Inactivo/a;2022;27.805
Hombres;Pakistán;Inactivo/a;2021;29.294
Hombres;Panamá;Total;2022;2.273
Hombres;Panamá;Total;2021;2.145
Hombres;Panamá;Ocupado/a;2022;943
Hombres;Panamá;Ocupado/a;2021;842
Hombres;Panamá;Parado/a;2022;120
Hombres;Panamá;Parado/a;2021;159
Hombres;Panamá;Inactivo/a;2022;1.210
Hombres;Panamá;Inactivo/a;2021;1.144
Hombres;Paraguay;Total;2022;31.877
Hombres;Paraguay;Total;2021;30.528
Hombres;Paraguay;Ocupado/a;2022;14.648
Hombres;Paraguay;Ocupado/a;2021;13.248
Hombres;Paraguay;Parado/a;2022;1.508
Hombres;Paraguay;Parado/a;2021;2.038
Hombres;Paraguay;Inactivo/a;2022;15.721
Hombres;Paraguay;Inactivo/a;2021;15.242
Hombres;Perú;Total;2022;106.823
Hombres;Perú;Total;2021;101.168
Hombres;Perú;Ocupado/a;2022;59.421
Hombres;Perú;Ocupado/a;2021;53.871
Hombres;Perú;Parado/a;2022;6.793
Hombres;Perú;Parado/a;2021;9.534
Hombres;Perú;Inactivo/a;2022;40.609
Hombres;Perú;Inactivo/a;2021;37.763
Hombres;Polonia;Total;2022;18.790
Hombres;Polonia;Total;2021;18.808
Hombres;Polonia;Ocupado/a;2022;10.177
Hombres;Polonia;Ocupado/a;2021;9.843
Hombres;Polonia;Parado/a;2022;1.675
Hombres;Polonia;Parado/a;2021;2.272
Hombres;Polonia;Inactivo/a;2022;6.938
Hombres;Polonia;Inactivo/a;2021;6.693
Hombres;Portugal;Total;2022;49.885
Hombres;Portugal;Total;2021;50.235
Hombres;Portugal;Ocupado/a;2022;25.638
Hombres;Portugal;Ocupado/a;2021;24.622
Hombres;Portugal;Parado/a;2022;3.623
Hombres;Portugal;Parado/a;2021;4.874
Hombres;Portugal;Inactivo/a;2022;20.624
Hombres;Portugal;Inactivo/a;2021;20.739
Hombres;Reino Unido;Total;2022;142.097
Hombres;Reino Unido;Total;2021;138.015
Hombres;Reino Unido;Ocupado/a;2022;37.310
Hombres;Reino Unido;Ocupado/a;2021;35.551
Hombres;Reino Unido;Parado/a;2022;2.801
Hombres;Reino Unido;Parado/a;2021;4.081
Hombres;Reino Unido;Inactivo/a;2022;101.986
Hombres;Reino Unido;Inactivo/a;2021;98.383
Hombres;República Checa;Total;2022;2.453
Hombres;República Checa;Total;2021;2.381
Hombres;República Checa;Ocupado/a;2022;1.077
Hombres;República Checa;Ocupado/a;2021;1.018
Hombres;República Checa;Parado/a;2022;207
Hombres;República Checa;Parado/a;2021;288
Hombres;República Checa;Inactivo/a;2022;1.169
Hombres;República Checa;Inactivo/a;2021;1.075
Hombres;República Dominicana;Total;2022;71.264
Hombres;República Dominicana;Total;2021;69.751
Hombres;República Dominicana;Ocupado/a;2022;38.022
Hombres;República Dominicana;Ocupado/a;2021;33.265
Hombres;República Dominicana;Parado/a;2022;7.382
Hombres;República Dominicana;Parado/a;2021;10.989
Hombres;República Dominicana;Inactivo/a;2022;25.860
Hombres;República Dominicana;Inactivo/a;2021;25.497
Hombres;República Eslovaca;Total;2022;1.740
Hombres;República Eslovaca;Total;2021;1.741
Hombres;República Eslovaca;Ocupado/a;2022;876
Hombres;República Eslovaca;Ocupado/a;2021;816
Hombres;República Eslovaca;Parado/a;2022;148
Hombres;República Eslovaca;Parado/a;2021;201
Hombres;República Eslovaca;Inactivo/a;2022;716
Hombres;República Eslovaca;Inactivo/a;2021;724
Hombres;Rumanía;Total;2022;251.068
Hombres;Rumanía;Total;2021;259.233
Hombres;Rumanía;Ocupado/a;2022;152.612
Hombres;Rumanía;Ocupado/a;2021;150.719
Hombres;Rumanía;Parado/a;2022;27.057
Hombres;Rumanía;Parado/a;2021;34.388
Hombres;Rumanía;Inactivo/a;2022;71.399
Hombres;Rumanía;Inactivo/a;2021;74.126
Hombres;Rusia;Total;2022;30.485
Hombres;Rusia;Total;2021;28.368
Hombres;Rusia;Ocupado/a;2022;8.894
Hombres;Rusia;Ocupado/a;2021;7.627
Hombres;Rusia;Parado/a;2022;1.803
Hombres;Rusia;Parado/a;2021;2.413
Hombres;Rusia;Inactivo/a;2022;19.788
Hombres;Rusia;Inactivo/a;2021;18.328
Hombres;Senegal;Total;2022;66.037
Hombres;Senegal;Total;2021;61.729
Hombres;Senegal;Ocupado/a;2022;33.202
Hombres;Senegal;Ocupado/a;2021;29.351
Hombres;Senegal;Parado/a;2022;4.893
Hombres;Senegal;Parado/a;2021;6.188
Hombres;Senegal;Inactivo/a;2022;27.942
Hombres;Senegal;Inactivo/a;2021;26.190
Hombres;Serbia;Total;2022;2.781
Hombres;Serbia;Total;2021;2.735
Hombres;Serbia;Ocupado/a;2022;1.187
Hombres;Serbia;Ocupado/a;2021;1.118
Hombres;Serbia;Parado/a;2022;176
Hombres;Serbia;Parado/a;2021;219
Hombres;Serbia;Inactivo/a;2022;1.418
Hombres;Serbia;Inactivo/a;2021;1.398
Hombres;Siria;Total;2022;5.944
Hombres;Siria;Total;2021;5.852
Hombres;Siria;Ocupado/a;2022;2.339
Hombres;Siria;Ocupado/a;2021;2.061
Hombres;Siria;Parado/a;2022;696
Hombres;Siria;Parado/a;2021;911
Hombres;Siria;Inactivo/a;2022;2.909
Hombres;Siria;Inactivo/a;2021;2.880
Hombres;Sudáfrica;Total;2022;1.942
Hombres;Sudáfrica;Total;2021;1.800
Hombres;Sudáfrica;Ocupado/a;2022;891
Hombres;Sudáfrica;Ocupado/a;2021;790
Hombres;Sudáfrica;Parado/a;2022;73
Hombres;Sudáfrica;Parado/a;2021;121
Hombres;Sudáfrica;Inactivo/a;2022;978
Hombres;Sudáfrica;Inactivo/a;2021;889
Hombres;Suecia;Total;2022;8.531
Hombres;Suecia;Total;2021;7.860
Hombres;Suecia;Ocupado/a;2022;2.904
Hombres;Suecia;Ocupado/a;2021;2.672
Hombres;Suecia;Parado/a;2022;168
Hombres;Suecia;Parado/a;2021;241
Hombres;Suecia;Inactivo/a;2022;5.459
Hombres;Suecia;Inactivo/a;2021;4.947
Hombres;Suiza;Total;2022;27.633
Hombres;Suiza;Total;2021;27.295
Hombres;Suiza;Ocupado/a;2022;17.016
Hombres;Suiza;Ocupado/a;2021;16.463
Hombres;Suiza;Parado/a;2022;1.766
Hombres;Suiza;Parado/a;2021;2.203
Hombres;Suiza;Inactivo/a;2022;8.851
Hombres;Suiza;Inactivo/a;2021;8.629
Hombres;Tailandia;Total;2022;522
Hombres;Tailandia;Total;2021;530
Hombres;Tailandia;Ocupado/a;2022;261
Hombres;Tailandia;Ocupado/a;2021;253
Hombres;Tailandia;Parado/a;2022;16
Hombres;Tailandia;Parado/a;2021;31
Hombres;Tailandia;Inactivo/a;2022;245
Hombres;Tailandia;Inactivo/a;2021;246
Hombres;Túnez;Total;2022;2.614
Hombres;Túnez;Total;2021;2.406
Hombres;Túnez;Ocupado/a;2022;1.024
Hombres;Túnez;Ocupado/a;2021;841
Hombres;Túnez;Parado/a;2022;203
Hombres;Túnez;Parado/a;2021;266
Hombres;Túnez;Inactivo/a;2022;1.387
Hombres;Túnez;Inactivo/a;2021;1.299
Hombres;Turquía;Total;2022;3.459
Hombres;Turquía;Total;2021;3.329
Hombres;Turquía;Ocupado/a;2022;1.748
Hombres;Turquía;Ocupado/a;2021;1.584
Hombres;Turquía;Parado/a;2022;159
Hombres;Turquía;Parado/a;2021;196
Hombres;Turquía;Inactivo/a;2022;1.552
Hombres;Turquía;Inactivo/a;2021;1.549
Hombres;Ucrania;Total;2022;43.103
Hombres;Ucrania;Total;2021;42.552
Hombres;Ucrania;Ocupado/a;2022;22.584
Hombres;Ucrania;Ocupado/a;2021;20.982
Hombres;Ucrania;Parado/a;2022;3.532
Hombres;Ucrania;Parado/a;2021;4.707
Hombres;Ucrania;Inactivo/a;2022;16.987
Hombres;Ucrania;Inactivo/a;2021;16.863
Hombres;Uruguay;Total;2022;39.919
Hombres;Uruguay;Total;2021;39.653
Hombres;Uruguay;Ocupado/a;2022;22.115
Hombres;Uruguay;Ocupado/a;2021;20.569
Hombres;Uruguay;Parado/a;2022;3.155
Hombres;Uruguay;Parado/a;2021;4.503
Hombres;Uruguay;Inactivo/a;2022;14.649
Hombres;Uruguay;Inactivo/a;2021;14.581
Hombres;Venezuela;Total;2022;178.670
Hombres;Venezuela;Total;2021;166.812
Hombres;Venezuela;Ocupado/a;2022;110.192
Hombres;Venezuela;Ocupado/a;2021;95.475
Hombres;Venezuela;Parado/a;2022;12.780
Hombres;Venezuela;Parado/a;2021;18.360
Hombres;Venezuela;Inactivo/a;2022;55.698
Hombres;Venezuela;Inactivo/a;2021;52.977
Hombres;Vietnam;Total;2022;1.250
Hombres;Vietnam;Total;2021;1.209
Hombres;Vietnam;Ocupado/a;2022;600
Hombres;Vietnam;Ocupado/a;2021;496
Hombres;Vietnam;Parado/a;2022;22
Hombres;Vietnam;Parado/a;2021;30
Hombres;Vietnam;Inactivo/a;2022;628
Hombres;Vietnam;Inactivo/a;2021;683
Hombres;Otros países de Europa;Total;2022;7.073
Hombres;Otros países de Europa;Total;2021;6.796
Hombres;Otros países de Europa;Ocupado/a;2022;3.468
Hombres;Otros países de Europa;Ocupado/a;2021;3.233
Hombres;Otros países de Europa;Parado/a;2022;376
Hombres;Otros países de Europa;Parado/a;2021;515
Hombres;Otros países de Europa;Inactivo/a;2022;3.229
Hombres;Otros países de Europa;Inactivo/a;2021;3.048
Hombres;Otros países de África;Total;2022;12.028
Hombres;Otros países de África;Total;2021;11.726
Hombres;Otros países de África;Ocupado/a;2022;5.175
Hombres;Otros países de África;Ocupado/a;2021;4.680
Hombres;Otros países de África;Parado/a;2022;1.285
Hombres;Otros países de África;Parado/a;2021;1.729
Hombres;Otros países de África;Inactivo/a;2022;5.568
Hombres;Otros países de África;Inactivo/a;2021;5.317
Hombres;Otros países de América;Total;2022;1.859
Hombres;Otros países de América;Total;2021;1.731
Hombres;Otros países de América;Ocupado/a;2022;788
Hombres;Otros países de América;Ocupado/a;2021;694
Hombres;Otros países de América;Parado/a;2022;134
Hombres;Otros países de América;Parado/a;2021;193
Hombres;Otros países de América;Inactivo/a;2022;937
Hombres;Otros países de América;Inactivo/a;2021;844
Hombres;Otros países de Asia;Total;2022;6.699
Hombres;Otros países de Asia;Total;2021;6.080
Hombres;Otros países de Asia;Ocupado/a;2022;2.337
Hombres;Otros países de Asia;Ocupado/a;2021;2.072
Hombres;Otros países de Asia;Parado/a;2022;467
Hombres;Otros países de Asia;Parado/a;2021;640
Hombres;Otros países de Asia;Inactivo/a;2022;3.895
Hombres;Otros países de Asia;Inactivo/a;2021;3.368
Hombres;Otros países de Oceanía;Total;2022;975
Hombres;Otros países de Oceanía;Total;2021;971
Hombres;Otros países de Oceanía;Ocupado/a;2022;450
Hombres;Otros países de Oceanía;Ocupado/a;2021;436
Hombres;Otros países de Oceanía;Parado/a;2022;45
Hombres;Otros países de Oceanía;Parado/a;2021;39
Hombres;Otros países de Oceanía;Inactivo/a;2022;480
Hombres;Otros países de Oceanía;Inactivo/a;2021;496
Mujeres;Total;Total;2022;20.755.346
Mujeres;Total;Total;2021;20.653.054
Mujeres;Total;Ocupado/a;2022;9.105.337
Mujeres;Total;Ocupado/a;2021;8.704.133
Mujeres;Total;Parado/a;2022;1.836.359
Mujeres;Total;Parado/a;2021;2.223.210
Mujeres;Total;Inactivo/a;2022;9.813.650
Mujeres;Total;Inactivo/a;2021;9.725.711
Mujeres;Albania;Total;2022;2.019
Mujeres;Albania;Total;2021;1.770
Mujeres;Albania;Ocupado/a;2022;667
Mujeres;Albania;Ocupado/a;2021;582
Mujeres;Albania;Parado/a;2022;126
Mujeres;Albania;Parado/a;2021;177
Mujeres;Albania;Inactivo/a;2022;1.226
Mujeres;Albania;Inactivo/a;2021;1.011
Mujeres;Alemania;Total;2022;85.523
Mujeres;Alemania;Total;2021;82.658
Mujeres;Alemania;Ocupado/a;2022;37.175
Mujeres;Alemania;Ocupado/a;2021;35.735
Mujeres;Alemania;Parado/a;2022;6.115
Mujeres;Alemania;Parado/a;2021;7.444
Mujeres;Alemania;Inactivo/a;2022;42.233
Mujeres;Alemania;Inactivo/a;2021;39.479
Mujeres;Angola;Total;2022;1.562
Mujeres;Angola;Total;2021;1.548
Mujeres;Angola;Ocupado/a;2022;636
Mujeres;Angola;Ocupado/a;2021;581
Mujeres;Angola;Parado/a;2022;186
Mujeres;Angola;Parado/a;2021;250
Mujeres;Angola;Inactivo/a;2022;740
Mujeres;Angola;Inactivo/a;2021;717
Mujeres;Argelia;Total;2022;23.356
Mujeres;Argelia;Total;2021;23.436
Mujeres;Argelia;Ocupado/a;2022;4.281
Mujeres;Argelia;Ocupado/a;2021;3.792
Mujeres;Argelia;Parado/a;2022;5.542
Mujeres;Argelia;Parado/a;2021;6.172
Mujeres;Argelia;Inactivo/a;2022;13.533
Mujeres;Argelia;Inactivo/a;2021;13.472
Mujeres;Argentina;Total;2022;154.104
Mujeres;Argentina;Total;2021;143.049
Mujeres;Argentina;Ocupado/a;2022;72.022
Mujeres;Argentina;Ocupado/a;2021;61.250
Mujeres;Argentina;Parado/a;2022;14.035
Mujeres;Argentina;Parado/a;2021;18.876
Mujeres;Argentina;Inactivo/a;2022;68.047
Mujeres;Argentina;Inactivo/a;2021;62.923
Mujeres;Armenia;Total;2022;6.477
Mujeres;Armenia;Total;2021;6.376
Mujeres;Armenia;Ocupado/a;2022;2.697
Mujeres;Armenia;Ocupado/a;2021;2.495
Mujeres;Armenia;Parado/a;2022;877
Mujeres;Armenia;Parado/a;2021;1.119
Mujeres;Armenia;Inactivo/a;2022;2.903
Mujeres;Armenia;Inactivo/a;2021;2.762
Mujeres;Australia;Total;2022;2.909
Mujeres;Australia;Total;2021;2.958
Mujeres;Australia;Ocupado/a;2022;1.302
Mujeres;Australia;Ocupado/a;2021;1.285
Mujeres;Australia;Parado/a;2022;190
Mujeres;Australia;Parado/a;2021;224
Mujeres;Australia;Inactivo/a;2022;1.417
Mujeres;Australia;Inactivo/a;2021;1.449
Mujeres;Austria;Total;2022;3.675
Mujeres;Austria;Total;2021;3.574
Mujeres;Austria;Ocupado/a;2022;1.330
Mujeres;Austria;Ocupado/a;2021;1.239
Mujeres;Austria;Parado/a;2022;143
Mujeres;Austria;Parado/a;2021;208
Mujeres;Austria;Inactivo/a;2022;2.202
Mujeres;Austria;Inactivo/a;2021;2.127
Mujeres;Bangladesh;Total;2022;4.536
Mujeres;Bangladesh;Total;2021;4.387
Mujeres;Bangladesh;Ocupado/a;2022;1.033
Mujeres;Bangladesh;Ocupado/a;2021;895
Mujeres;Bangladesh;Parado/a;2022;415
Mujeres;Bangladesh;Parado/a;2021;476
Mujeres;Bangladesh;Inactivo/a;2022;3.088
Mujeres;Bangladesh;Inactivo/a;2021;3.016
Mujeres;Belarús;Total;2022;4.216
Mujeres;Belarús;Total;2021;3.917
Mujeres;Belarús;Ocupado/a;2022;1.621
Mujeres;Belarús;Ocupado/a;2021;1.403
Mujeres;Belarús;Parado/a;2022;432
Mujeres;Belarús;Parado/a;2021;560
Mujeres;Belarús;Inactivo/a;2022;2.163
Mujeres;Belarús;Inactivo/a;2021;1.954
Mujeres;Bélgica;Total;2022;23.674
Mujeres;Bélgica;Total;2021;22.323
Mujeres;Bélgica;Ocupado/a;2022;8.209
Mujeres;Bélgica;Ocupado/a;2021;7.791
Mujeres;Bélgica;Parado/a;2022;1.613
Mujeres;Bélgica;Parado/a;2021;1.877
Mujeres;Bélgica;Inactivo/a;2022;13.852
Mujeres;Bélgica;Inactivo/a;2021;12.655
Mujeres;Bolivia;Total;2022;104.491
Mujeres;Bolivia;Total;2021;103.154
Mujeres;Bolivia;Ocupado/a;2022;61.024
Mujeres;Bolivia;Ocupado/a;2021;56.400
Mujeres;Bolivia;Parado/a;2022;10.083
Mujeres;Bolivia;Parado/a;2021;14.265
Mujeres;Bolivia;Inactivo/a;2022;33.384
Mujeres;Bolivia;Inactivo/a;2021;32.489
Mujeres;Brasil;Total;2022;90.747
Mujeres;Brasil;Total;2021;90.642
Mujeres;Brasil;Ocupado/a;2022;35.627
Mujeres;Brasil;Ocupado/a;2021;31.655
Mujeres;Brasil;Parado/a;2022;10.576
Mujeres;Brasil;Parado/a;2021;14.343
Mujeres;Brasil;Inactivo/a;2022;44.544
Mujeres;Brasil;Inactivo/a;2021;44.644
Mujeres;Bulgaria;Total;2022;53.570
Mujeres;Bulgaria;Total;2021;55.225
Mujeres;Bulgaria;Ocupado/a;2022;24.483
Mujeres;Bulgaria;Ocupado/a;2021;23.526
Mujeres;Bulgaria;Parado/a;2022;8.921
Mujeres;Bulgaria;Parado/a;2021;11.392
Mujeres;Bulgaria;Inactivo/a;2022;20.166
Mujeres;Bulgaria;Inactivo/a;2021;20.307
Mujeres;Cabo Verde;Total;2022;2.647
Mujeres;Cabo Verde;Total;2021;2.634
Mujeres;Cabo Verde;Ocupado/a;2022;1.505
Mujeres;Cabo Verde;Ocupado/a;2021;1.391
Mujeres;Cabo Verde;Parado/a;2022;228
Mujeres;Cabo Verde;Parado/a;2021;347
Mujeres;Cabo Verde;Inactivo/a;2022;914
Mujeres;Cabo Verde;Inactivo/a;2021;896
Mujeres;Camerún;Total;2022;2.384
Mujeres;Camerún;Total;2021;2.315
Mujeres;Camerún;Ocupado/a;2022;919
Mujeres;Camerún;Ocupado/a;2021;770
Mujeres;Camerún;Parado/a;2022;371
Mujeres;Camerún;Parado/a;2021;453
Mujeres;Camerún;Inactivo/a;2022;1.094
Mujeres;Camerún;Inactivo/a;2021;1.092
Mujeres;Canadá;Total;2022;3.739
Mujeres;Canadá;Total;2021;3.653
Mujeres;Canadá;Ocupado/a;2022;1.527
Mujeres;Canadá;Ocupado/a;2021;1.435
Mujeres;Canadá;Parado/a;2022;152
Mujeres;Canadá;Parado/a;2021;196
Mujeres;Canadá;Inactivo/a;2022;2.060
Mujeres;Canadá;Inactivo/a;2021;2.022
Mujeres;Chile;Total;2022;32.013
Mujeres;Chile;Total;2021;31.114
Mujeres;Chile;Ocupado/a;2022;12.544
Mujeres;Chile;Ocupado/a;2021;11.358
Mujeres;Chile;Parado/a;2022;3.111
Mujeres;Chile;Parado/a;2021;4.078
Mujeres;Chile;Inactivo/a;2022;16.358
Mujeres;Chile;Inactivo/a;2021;15.678
Mujeres;China;Total;2022;95.308
Mujeres;China;Total;2021;93.824
Mujeres;China;Ocupado/a;2022;50.935
Mujeres;China;Ocupado/a;2021;46.760
Mujeres;China;Parado/a;2022;2.082
Mujeres;China;Parado/a;2021;3.382
Mujeres;China;Inactivo/a;2022;42.291
Mujeres;China;Inactivo/a;2021;43.682
Mujeres;Colombia;Total;2022;308.886
Mujeres;Colombia;Total;2021;292.234
Mujeres;Colombia;Ocupado/a;2022;127.334
Mujeres;Colombia;Ocupado/a;2021;111.023
Mujeres;Colombia;Parado/a;2022;32.600
Mujeres;Colombia;Parado/a;2021;43.501
Mujeres;Colombia;Inactivo/a;2022;148.952
Mujeres;Colombia;Inactivo/a;2021;137.710
Mujeres;Corea;Total;2022;2.453
Mujeres;Corea;Total;2021;2.543
Mujeres;Corea;Ocupado/a;2022;721
Mujeres;Corea;Ocupado/a;2021;701
Mujeres;Corea;Parado/a;2022;76
Mujeres;Corea;Parado/a;2021;106
Mujeres;Corea;Inactivo/a;2022;1.656
Mujeres;Corea;Inactivo/a;2021;1.736
Mujeres;Costa de Marfil;Total;2022;1.375
Mujeres;Costa de Marfil;Total;2021;1.329
Mujeres;Costa de Marfil;Ocupado/a;2022;514
Mujeres;Costa de Marfil;Ocupado/a;2021;394
Mujeres;Costa de Marfil;Parado/a;2022;181
Mujeres;Costa de Marfil;Parado/a;2021;251
Mujeres;Costa de Marfil;Inactivo/a;2022;680
Mujeres;Costa de Marfil;Inactivo/a;2021;684
Mujeres;Costa Rica;Total;2022;2.874
Mujeres;Costa Rica;Total;2021;2.776
Mujeres;Costa Rica;Ocupado/a;2022;1.033
Mujeres;Costa Rica;Ocupado/a;2021;874
Mujeres;Costa Rica;Parado/a;2022;205
Mujeres;Costa Rica;Parado/a;2021;286
Mujeres;Costa Rica;Inactivo/a;2022;1.636
Mujeres;Costa Rica;Inactivo/a;2021;1.616
Mujeres;Croacia;Total;2022;1.233
Mujeres;Croacia;Total;2021;1.198
Mujeres;Croacia;Ocupado/a;2022;569
Mujeres;Croacia;Ocupado/a;2021;523
Mujeres;Croacia;Parado/a;2022;86
Mujeres;Croacia;Parado/a;2021;135
Mujeres;Croacia;Inactivo/a;2022;578
Mujeres;Croacia;Inactivo/a;2021;540
Mujeres;Cuba;Total;2022;92.624
Mujeres;Cuba;Total;2021;87.383
Mujeres;Cuba;Ocupado/a;2022;35.813
Mujeres;Cuba;Ocupado/a;2021;30.710
Mujeres;Cuba;Parado/a;2022;13.106
Mujeres;Cuba;Parado/a;2021;15.834
Mujeres;Cuba;Inactivo/a;2022;43.705
Mujeres;Cuba;Inactivo/a;2021;40.839
Mujeres;Dinamarca;Total;2022;4.012
Mujeres;Dinamarca;Total;2021;4.005
Mujeres;Dinamarca;Ocupado/a;2022;1.168
Mujeres;Dinamarca;Ocupado/a;2021;1.101
Mujeres;Dinamarca;Parado/a;2022;99
Mujeres;Dinamarca;Parado/a;2021;150
Mujeres;Dinamarca;Inactivo/a;2022;2.745
Mujeres;Dinamarca;Inactivo/a;2021;2.754
Mujeres;Ecuador;Total;2022;219.974
Mujeres;Ecuador;Total;2021;218.626
Mujeres;Ecuador;Ocupado/a;2022;133.706
Mujeres;Ecuador;Ocupado/a;2021;123.443
Mujeres;Ecuador;Parado/a;2022;23.770
Mujeres;Ecuador;Parado/a;2021;32.709
Mujeres;Ecuador;Inactivo/a;2022;62.498
Mujeres;Ecuador;Inactivo/a;2021;62.474
Mujeres;Egipto;Total;2022;1.745
Mujeres;Egipto;Total;2021;1.598
Mujeres;Egipto;Ocupado/a;2022;353
Mujeres;Egipto;Ocupado/a;2021;302
Mujeres;Egipto;Parado/a;2022;192
Mujeres;Egipto;Parado/a;2021;212
Mujeres;Egipto;Inactivo/a;2022;1.200
Mujeres;Egipto;Inactivo/a;2021;1.084
Mujeres;El Salvador;Total;2022;15.924
Mujeres;El Salvador;Total;2021;14.825
Mujeres;El Salvador;Ocupado/a;2022;6.504
Mujeres;El Salvador;Ocupado/a;2021;5.671
Mujeres;El Salvador;Parado/a;2022;746
Mujeres;El Salvador;Parado/a;2021;1.235
