Sexo;País de nacimiento;Relación con la actividad;Periodo;Total
Total;Cuba;Total;2022;168.874
Total;Cuba;Total;2021;159.156
Total;Cuba;Ocupado/a;2022;72.215
Total;Cuba;Ocupado/a;2021;61.911
Total;Cuba;Parado/a;2022;20.753
Total;Cuba;Parado/a;2021;25.780
Total;Cuba;Inactivo/a;2022;75.906
Total;Cuba;Inactivo/a;2021;71.465
Total;Dinamarca;Total;2022;8.397
Total;Dinamarca;Total;2021;8.319
Total;Dinamarca;Ocupado/a;2022;2.627
Total;Dinamarca;Ocupado/a;2021;2.489
Total;Dinamarca;Parado/a;2022;172
Total;Dinamarca;Parado/a;2021;263
Total;Dinamarca;Inactivo/a;2022;5.598
Total;Dinamarca;Inactivo/a;2021;5.567
Total;Ecuador;Total;2022;409.963
Total;Ecuador;Total;2021;407.399
Total;Ecuador;Ocupado/a;2022;262.690
Total;Ecuador;Ocupado/a;2021;243.388
Total;Ecuador;Parado/a;2022;37.959
Total;Ecuador;Parado/a;2021;53.036
Total;Ecuador;Inactivo/a;2022;109.314
Total;Ecuador;Inactivo/a;2021;110.975
Total;Egipto;Total;2022;5.623
Total;Egipto;Total;2021;5.292
Total;Egipto;Ocupado/a;2022;1.794
Total;Egipto;Ocupado/a;2021;1.606
Total;Egipto;Parado/a;2022;539
Total;Egipto;Parado/a;2021;633
Total;Egipto;Inactivo/a;2022;3.290
Total;Egipto;Inactivo/a;2021;3.053
Total;El Salvador;Total;2022;26.720
Total;El Salvador;Total;2021;24.782
Total;El Salvador;Ocupado/a;2022;11.133
Total;El Salvador;Ocupado/a;2021;9.695
Total;El Salvador;Parado/a;2022;1.164
Total;El Salvador;Parado/a;2021;2.152
Total;El Salvador;Inactivo/a;2022;14.423
Total;El Salvador;Inactivo/a;2021;12.935
Total;Estados Unidos de América;Total;2022;46.902
Total;Estados Unidos de América;Total;2021;43.753
Total;Estados Unidos de América;Ocupado/a;2022;14.752
Total;Estados Unidos de América;Ocupado/a;2021;13.690
Total;Estados Unidos de América;Parado/a;2022;1.244
Total;Estados Unidos de América;Parado/a;2021;1.579
Total;Estados Unidos de América;Inactivo/a;2022;30.906
Total;Estados Unidos de América;Inactivo/a;2021;28.484
Total;España;Total;2022;33.384.960
Total;España;Total;2021;33.381.102
Total;España;Ocupado/a;2022;16.148.200
Total;España;Ocupado/a;2021;15.686.180
Total;España;Parado/a;2022;2.440.808
Total;España;Parado/a;2021;2.977.186
Total;España;Inactivo/a;2022;14.795.952
Total;España;Inactivo/a;2021;14.717.736
Total;Estonia;Total;2022;2.146
Total;Estonia;Total;2021;2.101
Total;Estonia;Ocupado/a;2022;760
Total;Estonia;Ocupado/a;2021;692
Total;Estonia;Parado/a;2022;152
Total;Estonia;Parado/a;2021;235
Total;Estonia;Inactivo/a;2022;1.234
Total;Estonia;Inactivo/a;2021;1.174
Total;Etiopía;Total;2022;2.462
Total;Etiopía;Total;2021;2.125
Total;Etiopía;Ocupado/a;2022;615
Total;Etiopía;Ocupado/a;2021;463
Total;Etiopía;Parado/a;2022;137
Total;Etiopía;Parado/a;2021;185
Total;Etiopía;Inactivo/a;2022;1.710
